"model","strain","mean_gen","sd_gen"
"Lognormal","SGTF",3.0435809,1.7351982
"Lognormal","SGTF",2.9047633,1.3758357
"Lognormal","SGTF",2.9091324,1.6861271
"Lognormal","SGTF",3.0095219,1.3758661
"Lognormal","SGTF",2.8346391,1.1320661
"Lognormal","SGTF",3.0111311,1.0681225
"Lognormal","SGTF",3.0292523,1.0442517
"Lognormal","SGTF",3.0270977,1.3537605
"Lognormal","SGTF",3.0118614,1.3193428
"Lognormal","SGTF",2.9196389,1.6620075
"Lognormal","SGTF",3.0106187,1.8305842
"Lognormal","SGTF",2.8168779,1.3840416
"Lognormal","SGTF",2.8669024,1.3662786
"Lognormal","SGTF",2.9814825,1.5944364
"Lognormal","SGTF",2.8887224,1.3729396
"Lognormal","SGTF",2.795805,1.1519311
"Lognormal","SGTF",2.7943661,1.3275578
"Lognormal","SGTF",2.8221008,1.3613299
"Lognormal","SGTF",3.0887497,1.4992404
"Lognormal","SGTF",2.9834318,1.7538279
"Lognormal","SGTF",2.9961568,1.4092624
"Lognormal","SGTF",3.1538548,1.8841571
"Lognormal","SGTF",2.7750541,1.2515988
"Lognormal","SGTF",3.0716388,1.9027243
"Lognormal","SGTF",3.1020611,2.1284636
"Lognormal","SGTF",3.1785995,2.3113687
"Lognormal","SGTF",2.8198539,0.80763023
"Lognormal","SGTF",2.9229082,0.9945847
"Lognormal","SGTF",2.8752876,1.020102
"Lognormal","SGTF",2.6590153,0.93825123
"Lognormal","SGTF",2.8604658,1.3299202
"Lognormal","SGTF",2.8719804,1.3417563
"Lognormal","SGTF",3.0767952,1.5356618
"Lognormal","SGTF",2.8703503,1.0942528
"Lognormal","SGTF",2.8428087,1.2862293
"Lognormal","SGTF",2.8562912,1.2925889
"Lognormal","SGTF",2.7955215,1.2383189
"Lognormal","SGTF",2.8780123,1.3754358
"Lognormal","SGTF",3.1437677,1.705448
"Lognormal","SGTF",3.1765135,1.8028463
"Lognormal","SGTF",3.1142629,1.7805894
"Lognormal","SGTF",3.0747532,1.6356475
"Lognormal","SGTF",2.9576298,1.4751462
"Lognormal","SGTF",3.0362938,1.4869335
"Lognormal","SGTF",3.0022257,1.4029196
"Lognormal","SGTF",3.0018763,1.4146672
"Lognormal","SGTF",2.8595076,1.6029147
"Lognormal","SGTF",3.2098597,1.9434003
"Lognormal","SGTF",2.7471854,1.2273413
"Lognormal","SGTF",3.1204161,1.5125449
"Lognormal","SGTF",2.8135348,1.5149427
"Lognormal","SGTF",3.1043797,1.5103692
"Lognormal","SGTF",3.0853272,1.4802826
"Lognormal","SGTF",2.8196405,1.0999715
"Lognormal","SGTF",2.834271,1.1169644
"Lognormal","SGTF",2.8172973,1.1057241
"Lognormal","SGTF",3.1151187,1.5187336
"Lognormal","SGTF",3.0743369,1.459804
"Lognormal","SGTF",3.0376437,1.5485337
"Lognormal","SGTF",3.0485196,1.5342769
"Lognormal","SGTF",3.1232461,1.5943214
"Lognormal","SGTF",3.0775026,1.6480634
"Lognormal","SGTF",2.8830429,0.99884174
"Lognormal","SGTF",3.0927437,1.7200946
"Lognormal","SGTF",3.0772001,1.7435002
"Lognormal","SGTF",2.8300569,1.4041563
"Lognormal","SGTF",3.0799882,1.5099919
"Lognormal","SGTF",2.9779167,1.5501744
